story_id,person,aliases,predicted_type,sentence_id,text,mention_count,word_count,text_prev,text_next,bert_context,is_primary_in_sentence
1,Tokoh-1,"['ibu', 'ibu ahmad', 'orang tua']",Protagonis,4,"setiap pagi , kedua orang tua ahmad dan muhammad pergi ke sawah , dan kedua anak itu ikut membantu mereka .",0.08695652173913045,0.2455621301775148,"Keluarga ini tinggal di sebuah gubuk tua , dan pekerjaan mereka sehari-hari adalah bercocok tanam di sebidang tanah yang tidak jauh dari rumah mereka .","Ahmad dan Muhammad adalah anak-anak yang berbudi luhur , ramah terhadap tetangga , serta penyayang terhadap binatang .","Keluarga ini tinggal di sebuah gubuk tua , dan pekerjaan mereka sehari-hari adalah bercocok tanam di sebidang tanah yang tidak jauh dari rumah mereka . [SEP] setiap pagi , kedua orang tua ahmad dan muhammad pergi ke sawah , dan kedua anak itu ikut membantu mereka . [SEP] Ahmad dan Muhammad adalah anak-anak yang berbudi luhur , ramah terhadap tetangga , serta penyayang terhadap binatang .",1
1,Tokoh-1,"['ibu', 'ibu ahmad', 'orang tua']",Protagonis,7,"setiap pagi , mereka membantu orang tua di sawah , dan pada sore hari mereka pergi mengaji .",0.08695652173913045,0.2455621301775148,"Oleh karena itu , orang-orang di kampung sangat menyayangi mereka .",Itulah rutinitas harian Ahmad dan Muhammad yang berlangsung dengan penuh ketekunan .,"Oleh karena itu , orang-orang di kampung sangat menyayangi mereka . [SEP] setiap pagi , mereka membantu orang tua di sawah , dan pada sore hari mereka pergi mengaji . [SEP] Itulah rutinitas harian Ahmad dan Muhammad yang berlangsung dengan penuh ketekunan .",1
1,Tokoh-1,"['ibu', 'ibu ahmad', 'orang tua']",Protagonis,17,"ayah mereka tersenyum dan berkata ayah tidak keberatan , tetapi sekarang ayah sedang sibuk menyiapkan tempat penyimpanan padi kita .",0.08695652173913045,0.2455621301775148,tanya Ahmad penuh antusias .,"Setelah itu selesai , Ayah akan buatkan sangkar untuk burung kalian . ''","tanya Ahmad penuh antusias . [SEP] ayah mereka tersenyum dan berkata ayah tidak keberatan , tetapi sekarang ayah sedang sibuk menyiapkan tempat penyimpanan padi kita . [SEP] Setelah itu selesai , Ayah akan buatkan sangkar untuk burung kalian . ''",0
1,Tokoh-1,"['ibu', 'ibu ahmad', 'orang tua']",Protagonis,29,"orang tua itu menjawab barang siapa yang memakan kepala burung ini , ia akan menjadi raja .",0.08695652173913045,0.2455621301775148,"Wak Pawang Merbuk bertanya Apakah tuah burung itu , dan siapa pemiliknya ? ''","Dan barang siapa yang memakan hatinya , ia akan menjadi menteri .","Wak Pawang Merbuk bertanya Apakah tuah burung itu , dan siapa pemiliknya ? '' [SEP] orang tua itu menjawab barang siapa yang memakan kepala burung ini , ia akan menjadi raja . [SEP] Dan barang siapa yang memakan hatinya , ia akan menjadi menteri .",1
1,Tokoh-1,"['ibu', 'ibu ahmad', 'orang tua']",Protagonis,53,"beberapa hari kemudian , ibu ahmad dan muhammad mengambil keputusan sendiri .",0.08695652173913045,0.2455621301775148,"Dengan penuh ambisi , Wak Pawang Merbuk pulang sambil membayangkan dirinya menjadi raja .","Saat kedua anaknya sedang pergi ke sawah , ia menangkap burung merbuk tersebut dan menyembelihnya .","Dengan penuh ambisi , Wak Pawang Merbuk pulang sambil membayangkan dirinya menjadi raja . [SEP] beberapa hari kemudian , ibu ahmad dan muhammad mengambil keputusan sendiri . [SEP] Saat kedua anaknya sedang pergi ke sawah , ia menangkap burung merbuk tersebut dan menyembelihnya .",1
1,Tokoh-1,"['ibu', 'ibu ahmad', 'orang tua']",Protagonis,62,"dengan wajah yang dibuat-buat sedih , ibu mereka berkata anak-anakku , burung kalian tadi dimakan oleh kucing .",0.08695652173913045,0.2455621301775148,"Setibanya di rumah , mereka langsung mencari burung kesayangan mereka .","Daripada terbuang sia-sia , ibu memotong dan memanggangnya . ''","Setibanya di rumah , mereka langsung mencari burung kesayangan mereka . [SEP] dengan wajah yang dibuat-buat sedih , ibu mereka berkata anak-anakku , burung kalian tadi dimakan oleh kucing . [SEP] Daripada terbuang sia-sia , ibu memotong dan memanggangnya . ''",1
1,Tokoh-1,"['ibu', 'ibu ahmad', 'orang tua']",Protagonis,63,"daripada terbuang sia-sia , ibu memotong dan memanggangnya . ''",0.08695652173913045,0.2455621301775148,"Dengan wajah yang dibuat-buat sedih , ibu mereka berkata Anak-anakku , burung kalian tadi dimakan oleh kucing .",Ahmad dan Muhammad hampir pingsan karena kesedihan .,"Dengan wajah yang dibuat-buat sedih , ibu mereka berkata Anak-anakku , burung kalian tadi dimakan oleh kucing . [SEP] daripada terbuang sia-sia , ibu memotong dan memanggangnya . '' [SEP] Ahmad dan Muhammad hampir pingsan karena kesedihan .",1
1,Tokoh-2,"['ayah', 'orang tua', 'pak ahmad']",Protagonis,4,"setiap pagi , kedua orang tua ahmad dan muhammad pergi ke sawah , dan kedua anak itu ikut membantu mereka .",0.20289855072463767,0.5443786982248521,"Keluarga ini tinggal di sebuah gubuk tua , dan pekerjaan mereka sehari-hari adalah bercocok tanam di sebidang tanah yang tidak jauh dari rumah mereka .","Ahmad dan Muhammad adalah anak-anak yang berbudi luhur , ramah terhadap tetangga , serta penyayang terhadap binatang .","Keluarga ini tinggal di sebuah gubuk tua , dan pekerjaan mereka sehari-hari adalah bercocok tanam di sebidang tanah yang tidak jauh dari rumah mereka . [SEP] setiap pagi , kedua orang tua ahmad dan muhammad pergi ke sawah , dan kedua anak itu ikut membantu mereka . [SEP] Ahmad dan Muhammad adalah anak-anak yang berbudi luhur , ramah terhadap tetangga , serta penyayang terhadap binatang .",1
1,Tokoh-2,"['ayah', 'orang tua', 'pak ahmad']",Protagonis,7,"setiap pagi , mereka membantu orang tua di sawah , dan pada sore hari mereka pergi mengaji .",0.20289855072463767,0.5443786982248521,"Oleh karena itu , orang-orang di kampung sangat menyayangi mereka .",Itulah rutinitas harian Ahmad dan Muhammad yang berlangsung dengan penuh ketekunan .,"Oleh karena itu , orang-orang di kampung sangat menyayangi mereka . [SEP] setiap pagi , mereka membantu orang tua di sawah , dan pada sore hari mereka pergi mengaji . [SEP] Itulah rutinitas harian Ahmad dan Muhammad yang berlangsung dengan penuh ketekunan .",1
1,Tokoh-2,"['ayah', 'orang tua', 'pak ahmad']",Protagonis,12,"dengan penuh kegembiraan , mereka segera pulang dan menunjukkan burung itu kepada ayah mereka .",0.20289855072463767,0.5443786982248521,"Burung merbuk tersebut sangat indah , dengan bulu yang berkilauan seperti emas .","`` Ayah , tadi ketika kami pulang mengaji , kami menangkap seekor burung merbuk yang sangat indah .","Burung merbuk tersebut sangat indah , dengan bulu yang berkilauan seperti emas . [SEP] dengan penuh kegembiraan , mereka segera pulang dan menunjukkan burung itu kepada ayah mereka . [SEP] `` Ayah , tadi ketika kami pulang mengaji , kami menangkap seekor burung merbuk yang sangat indah .",1
